Informazioni cronologiche,Età,Genere,Occupazione,Settore,Titolo di studio,Sei a conoscenza del progetto Euro Digitale?,Conosci le criptovalute?,Quanto ti identifichi in quanto appena letto?,Quanto sei favorevole con quanto appena letto?,"Se potessi sapere chiaramente come lo Stato utilizza ogni singolo euro delle TUE tasse, come sarebbe la tua opinione rispetto alla risposta precedente?","Se potessi sapere chiaramente come lo Stato utilizza ogni singolo euro delle TUE tasse, saresti più d'accordo nel pagare le tasse?",Che tipo di funzionalità ti aspetti da un sistema come questo?,Cosa ti spaventerebbe/quali sono le tue preoccupazioni riguardo l’utilizzo di questo sistema?
03/11/2023 12.05.26,42 - 57 anni,Donna,Disoccupato,Casalinga,Licenza media,No,No,Molto,Sfavorevole,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 12.05.29,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Educazione e formazione,Laurea,No,Si,Molto,Molto sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 12.05.59,26 - 41 anni,Donna,Disoccupato,Servizi socio-sanitari,Laurea,No,Si,Abbastanza,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 12.07.00,10 - 25 anni,Donna,"Impiegato, operaio, addetto",Informatica,Diploma di scuola superiore,Si,Si,Molto,Sfavorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 12.14.58,10 - 25 anni,Donna,Studente,Informatica,Laurea,No,Si,Molto,Sfavorevole,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura di poter essere truffato in qualche modo"
03/11/2023 12.19.05,10 - 25 anni,Uomo,Lavoratore in proprio,Commercio al dettaglio di fiori e piante e negozi di toelettatura per animali,Licenza media,Si,Si e ne posseggo alcune,Molto,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 12.19.08,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Servizi socio-sanitari,Diploma di scuola superiore,No,Si,Molto,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 12.19.53,26 - 41 anni,Uomo,Disoccupato,Informatica,Laurea,No,Si,Molto,Molto sfavorevole,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 12.28.29,10 - 25 anni,Donna,Studente,Produzioni metalmeccaniche,Diploma di scuola superiore,No,No,Molto,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 12.30.40,58 - 76 anni,Uomo,Pensionato,Pubblica sicurezza,Diploma di scuola superiore,No,No,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 12.31.35,10 - 25 anni,Donna,Studente,Servizi socio-sanitari,Diploma di scuola superiore,No,No,Per niente,Indifferente,La mia opinione non cambia,No,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro"
03/11/2023 12.40.24,26 - 41 anni,Donna,Studente,"Comunicazione, pubblicità e pubbliche relazioni",Master,No,No,Abbastanza,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 12.48.26,10 - 25 anni,Donna,"Impiegato, operaio, addetto",Educazione e formazione,Diploma di scuola superiore,No,No,Molto,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 12.49.20,42 - 57 anni,Uomo,"Impiegato, operaio, addetto",amministrazione difesa,Diploma di scuola superiore,No,Si,Molto,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 12.53.45,10 - 25 anni,Donna,Studente,"Credito, finanza, assicurazioni",Diploma di scuola superiore,No,No,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 12.56.14,10 - 25 anni,Donna,"Impiegato, operaio, addetto",Servizi di vendita e riparazione,Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 13.02.54,10 - 25 anni,Donna,Studente,Educazione e formazione,Diploma di scuola superiore,No,No,Molto,Molto sfavorevole,Sarei più favorevole,Un po' di più,Tracciabilità delle donazioni alle associazioni di volontariato,Ho paura di subire furti di denaro
03/11/2023 13.22.17,42 - 57 anni,Donna,Lavoratore in proprio,"Comunicazione, pubblicità e pubbliche relazioni",Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 13.22.19,26 - 41 anni,Donna,"Impiegato, operaio, addetto","Comunicazione, pubblicità e pubbliche relazioni",Laurea,No,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 13.28.15,10 - 25 anni,Uomo,Studente,Informatica,Laurea,No,Si e ne posseggo alcune,Abbastanza,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 13.28.45,10 - 25 anni,Donna,Studente,nessun settore,Diploma di scuola superiore,No,Si,Poco,Molto favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 13.29.35,26 - 41 anni,Donna,Libero professionista,Artigianato artistico,Diploma di scuola superiore,No,Si,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 13.32.16,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,Si,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 13.36.18,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Distribuzione commerciale,Diploma di scuola superiore,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 13.37.27,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,Si,Si,Abbastanza,Molto sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di poter essere truffato in qualche modo"
03/11/2023 13.39.08,42 - 57 anni,Uomo,Quadro,"Credito, finanza, assicurazioni",Laurea,Si,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 13.43.54,26 - 41 anni,Uomo,Studente,Informatica,Laurea,Si,Si,Abbastanza,Indifferente,Sarei più favorevole,Un po' di più,"Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 13.45.41,26 - 41 anni,Donna,Quadro,Informatica,Laurea,No,Si,Poco,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò), Confronto allocazione spese per aree geografiche",Non ho paura
03/11/2023 13.52.47,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si e ne posseggo alcune,Molto,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura di subire furti di denaro, Ho paura di poter essere truffato in qualche modo"
03/11/2023 13.55.27,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Servizi di consulenza professionale,Master,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 13.55.30,42 - 57 anni,Uomo,Lavoratore in proprio,Restauro cornici,Diploma di scuola superiore,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 13.56.14,10 - 25 anni,Donna,Studente,Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 13.57.50,10 - 25 anni,Donna,Studente,Biologico,Diploma di scuola superiore,Si,Si,Molto,Molto sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò), In riferimento al punto 1, si, ma non trovo equo distribuire le tasse in base alla residenza (vivo a Lecce ecc..) ","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Più che paura ho una domanda: ma quindi non esisterà più il contante?"
03/11/2023 14.00.08,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 14.00.09,26 - 41 anni,Donna,Disoccupato,"Comunicazione, pubblicità e pubbliche relazioni",Master,Si,Si,Molto,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di subire furti di denaro
03/11/2023 14.01.39,42 - 57 anni,Uomo,Quadro,Mobilità,Laurea,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 14.02.25,42 - 57 anni,Donna,Libero professionista,Servizi di consulenza professionale,Dottorato,No,Si,Molto,Abbastanza favorevole,La mia opinione non cambia,No,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 14.04.20,10 - 25 anni,Uomo,Studente,Informatica,Laurea,No,Si,Abbastanza,Abbastanza favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.04.35,10 - 25 anni,Donna,Studente,"Spettacolo, sport, benessere e cura della persona",Laurea,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 14.04.35,26 - 41 anni,Uomo,Libero professionista,Edilizia ed impiantistica,Laurea,No,Si e ne posseggo alcune,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 14.05.49,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Molto sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.07.48,42 - 57 anni,Uomo,"Impiegato, operaio, addetto",Edilizia ed impiantistica,Laurea,No,Si,Abbastanza,Sfavorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 14.09.11,42 - 57 anni,Donna,Docente,Educazione e formazione,Master,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.10.17,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Informatica,Laurea,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 14.12.51,26 - 41 anni,Donna,Libero professionista,Edilizia ed impiantistica,Laurea,Si,Si,Molto,Abbastanza favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Avere tutti i dati a disposizione di ogni cittadino in modo da poterli analizzare liberamente ",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 14.14.48,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,No,Si,Molto,Indifferente,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.16.30,42 - 57 anni,Donna,"Impiegato, operaio, addetto",Servizi socio-sanitari,Licenza media,No,No,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 14.18.01,26 - 41 anni,Uomo,Libero professionista,"Credito, finanza, assicurazioni",Laurea,Si,Si e ne posseggo alcune,Molto,Abbastanza favorevole,Sarei più favorevole,Un po' di più,Controllo delle mie finanze personali,Ho paura di non poter controllare il mio denaro e la mia privacy
03/11/2023 14.18.42,26 - 41 anni,Donna,Disoccupato,Artigianato artistico,Laurea,No,No,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 14.19.19,42 - 57 anni,Donna,Docente,Educazione e formazione,Master,No,No,Abbastanza,Sfavorevole,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 14.21.04,26 - 41 anni,Donna,Quadro,Servizi di consulenza professionale,Master,No,Si,Abbastanza,Abbastanza favorevole,La mia opinione non cambia,Un po' di più,Tracciabilità un generale,No panic
03/11/2023 14.21.13,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 14.21.56,10 - 25 anni,Donna,Studente,Educazione e formazione,Laurea,Si,Si,Molto,Molto favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 14.25.23,10 - 25 anni,Non binario,Studente,"Comunicazione, pubblicità e pubbliche relazioni",Laurea,No,Si,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.26.19,26 - 41 anni,Uomo,Imprenditore,Produzioni alimentari,Master,Si,Si,Molto,Sfavorevole,La mia opinione non cambia,Un po' di più,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 14.27.21,42 - 57 anni,Uomo,Dirigente,Informatica,Master,No,Si,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.28.13,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Servizi socio-sanitari,Laurea,No,Si,Molto,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.31.17,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Turismo alberghiero e ristorazione,Laurea,No,No,Abbastanza,Molto sfavorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 14.31.30,10 - 25 anni,Donna,Studente,Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
